time	type	info
63626902505432.469	log	started
63626902505518.312	serial	opened (/dev/ttyS0)
63626902506545.352	buttonbox	F9: blue/up/lleft
63626902506548.891	buttonbox	F10: yellow/left/rleft
63626902506551.305	buttonbox	F11: green/right/lright
63626902506552.875	buttonbox	F12: red/down/rright
63626902509267.914	window	opened main
63626902510196.078	flip	show start
63626902510429.188	experiment	Set start level based on subject's saved ability
63626902512014.055	experiment	initialized experiment
63626902520344.789	info	autosave (540ms)
63626902530343.719	info	autosave (513ms)
63626902540343.523	info	autosave (522ms)
63626902550341.688	info	autosave (541ms)
63626902560342.922	info	autosave (789ms)
63626902570342.656	info	autosave (530ms)
63626902580342.867	info	autosave (2864ms)
63626902590343.094	info	autosave (12646ms)
63626902603002.133	info	autosave (3795ms)
63626902610343.039	info	autosave (530ms)
63626902620343.602	info	autosave (520ms)
63626902630342.781	info	autosave (513ms)
63626902640343.219	info	autosave (510ms)
63626902650343.102	info	autosave (545ms)
63626902660343.234	info	autosave (2447ms)
63626902670342.359	info	autosave (539ms)
63626902680343.008	info	autosave (478ms)
63626902690343.297	info	autosave (512ms)
63626902700343.125	info	autosave (495ms)
63626902710342.898	info	autosave (495ms)
63626902720343.219	info	autosave (520ms)
63626902730341.969	info	autosave (512ms)
63626902740342.398	info	autosave (519ms)
63626902750343.578	info	autosave (536ms)
63626902760343.516	info	autosave (544ms)
63626902770343.414	info	autosave (536ms)
63626902780343.312	info	autosave (925ms)
63626902790342.945	info	autosave (536ms)
63626902800343.234	info	autosave (519ms)
63626902810342.945	info	autosave (736ms)
63626902820342.867	info	autosave (486ms)
63626902830342.359	info	autosave (519ms)
63626902840342.766	info	autosave (527ms)
63626902850343.578	info	autosave (527ms)
63626902860343.180	info	autosave (1225ms)
63626902870343.062	info	autosave (543ms)
63626902880343.070	info	autosave (510ms)
63626902890342.711	info	autosave (502ms)
63626902900342.367	info	autosave (518ms)
63626902910342.648	info	autosave (519ms)
63626902920343.477	info	autosave (698ms)
63626902930343.508	info	autosave (526ms)
63626902940343.539	info	autosave (515ms)
63626902950342.461	info	autosave (585ms)
63626902960343.086	info	autosave (542ms)
63626902970342.992	info	autosave (3020ms)
63626902980342.859	info	autosave (535ms)
63626902990343.305	info	autosave (525ms)
63626903000343.609	info	autosave (2225ms)
63626903010343.789	info	autosave (508ms)
63626903020343.586	info	autosave (758ms)
63626903030343.352	info	autosave (515ms)
63626903040343.211	info	autosave (523ms)
63626903050343.211	info	autosave (758ms)
63626903060343.367	info	autosave (541ms)
63626903070343.391	info	autosave (532ms)
63626903080343.109	info	autosave (523ms)
63626903090342.680	info	autosave (785ms)
63626903100342.844	info	autosave (525ms)
