time	type	info
63627193268749.906	log	started
63627193268761.883	serial	opened (/dev/ttyS0)
63627193269310.844	buttonbox	F9: blue/up/lleft
63627193269311.492	buttonbox	F10: yellow/left/rleft
63627193269312.148	buttonbox	F11: green/right/lright
63627193269312.789	buttonbox	F12: red/down/rright
63627193271172.156	window	opened main
63627193271574.117	flip	show start
63627193271606.000	experiment	Set start level based on subject's saved ability
63627193272702.633	experiment	initialized experiment
63627193281585.906	info	autosave (486ms)
63627193291585.930	info	autosave (487ms)
63627193301585.789	info	autosave (486ms)
63627193311586.695	info	autosave (486ms)
63627193321585.531	info	autosave (480ms)
63627193331586.172	info	autosave (495ms)
63627193341585.398	info	autosave (487ms)
63627193351585.539	info	autosave (486ms)
63627193361585.664	info	autosave (494ms)
63627193371586.539	info	autosave (485ms)
63627193381586.117	info	autosave (486ms)
63627193391586.086	info	autosave (485ms)
63627193401586.836	info	autosave (493ms)
63627193411586.586	info	autosave (484ms)
63627193421586.398	info	autosave (484ms)
63627193431585.773	info	autosave (477ms)
63627193432533.688	experiment	Starting run 1 of 12
63627193473574.414	scanner	TR: 001/210
63627193474287.883	info	autosave (496ms)
63627193475577.453	scanner	TR: 002/210
63627193477575.312	scanner	TR: 003/210
63627193479576.430	scanner	TR: 004/210
63627193481575.102	scanner	TR: 005/210
63627193481581.945	experiment	block 1 start
63627193483574.617	scanner	TR: 006/210
63627193485574.953	scanner	TR: 007/210
63627193487575.984	scanner	TR: 008/210
63627193489126.617	buttonbox	pressed: responseud
63627193489576.008	scanner	TR: 009/210
63627193491576.844	scanner	TR: 010/210
63627193491837.586	buttonbox	pressed: responseud
63627193493575.969	scanner	TR: 011/210
63627193494911.812	buttonbox	pressed: responseud
63627193495574.609	scanner	TR: 012/210
63627193495602.758	experiment	fixations correct: 3/3 (100%)
63627193497186.375	buttonbox	pressed: responselrud
63627193497575.836	scanner	TR: 013/210
63627193497706.289	experiment	feedback (n, 0/1)
63627193499574.695	scanner	TR: 014/210
63627193500277.602	info	autosave (496ms)
63627193501576.602	scanner	TR: 015/210
63627193503576.078	scanner	TR: 016/210
63627193505574.750	scanner	TR: 017/210
63627193507574.750	scanner	TR: 018/210
63627193507581.094	experiment	block 2 start
63627193509575.117	scanner	TR: 019/210
63627193511575.250	scanner	TR: 020/210
63627193513574.859	scanner	TR: 021/210
63627193514462.172	buttonbox	pressed: responseud
63627193515575.375	scanner	TR: 022/210
63627193516725.484	buttonbox	pressed: responseud
63627193517574.422	scanner	TR: 023/210
63627193519388.117	buttonbox	pressed: responseud
63627193519575.703	scanner	TR: 024/210
63627193519998.141	experiment	fixations correct: 3/3 (100%)
63627193521575.336	scanner	TR: 025/210
63627193522742.734	buttonbox	pressed: responselrud
63627193523575.250	scanner	TR: 026/210
63627193523728.977	experiment	feedback (y, 1/2)
63627193525577.500	scanner	TR: 027/210
63627193526322.742	info	autosave (1428ms)
63627193527754.609	scanner	TR: 028/210
63627193529575.664	scanner	TR: 029/210
63627193531576.828	scanner	TR: 030/210
63627193533574.719	scanner	TR: 031/210
63627193533577.602	experiment	block 3 start
63627193535574.914	scanner	TR: 032/210
63627193537574.789	scanner	TR: 033/210
63627193539575.531	scanner	TR: 034/210
63627193540421.469	buttonbox	pressed: responseud
63627193541576.430	scanner	TR: 035/210
63627193543120.266	buttonbox	pressed: responseud
63627193543574.477	scanner	TR: 036/210
63627193545574.672	scanner	TR: 037/210
63627193545952.711	buttonbox	pressed: responseud
63627193546680.172	experiment	fixations correct: 3/3 (100%)
63627193547574.500	scanner	TR: 038/210
63627193549096.445	buttonbox	pressed: responselrud
63627193549575.531	scanner	TR: 039/210
63627193549718.969	experiment	feedback (y, 2/3)
63627193551574.336	scanner	TR: 040/210
63627193552274.359	info	autosave (921ms)
63627193553575.781	scanner	TR: 041/210
63627193555575.641	scanner	TR: 042/210
63627193557577.164	scanner	TR: 043/210
63627193559576.172	scanner	TR: 044/210
63627193559579.070	experiment	block 4 start
63627193561576.531	scanner	TR: 045/210
63627193563577.148	scanner	TR: 046/210
63627193565397.812	buttonbox	pressed: responseud
63627193565574.617	scanner	TR: 047/210
63627193567575.172	scanner	TR: 048/210
63627193568088.445	buttonbox	pressed: responseud
63627193569575.109	scanner	TR: 049/210
63627193570855.891	buttonbox	pressed: responseud
63627193571576.367	scanner	TR: 050/210
63627193572081.250	buttonbox	pressed: responseud
63627193572685.734	experiment	fixations correct: 4/4 (100%)
63627193573576.609	scanner	TR: 051/210
63627193574933.094	buttonbox	pressed: responselrud
63627193575573.992	scanner	TR: 052/210
63627193575729.547	experiment	feedback (n, 2/4)
63627193577577.148	scanner	TR: 053/210
63627193578334.594	info	autosave (3318ms)
63627193581656.859	scanner	TR: 055/210
63627193583576.461	scanner	TR: 056/210
63627193585576.172	scanner	TR: 057/210
63627193585578.992	experiment	block 5 start
63627193587574.320	scanner	TR: 058/210
63627193589576.766	scanner	TR: 059/210
63627193591576.203	scanner	TR: 060/210
63627193592027.203	buttonbox	pressed: responseud
63627193593575.594	scanner	TR: 061/210
63627193594390.938	buttonbox	pressed: responseud
63627193595575.195	scanner	TR: 062/210
63627193597125.188	buttonbox	pressed: responseud
63627193597574.328	scanner	TR: 063/210
63627193597819.266	experiment	fixations correct: 3/3 (100%)
63627193599575.859	scanner	TR: 064/210
63627193601008.781	buttonbox	pressed: responselrud
63627193601573.914	scanner	TR: 065/210
63627193601719.219	experiment	feedback (y, 3/5)
63627193603576.852	scanner	TR: 066/210
63627193604308.086	info	autosave (2617ms)
63627193606929.914	scanner	TR: 067/210
63627193607574.367	scanner	TR: 068/210
63627193609575.742	scanner	TR: 069/210
63627193611575.633	scanner	TR: 070/210
63627193611578.500	experiment	block 6 start
63627193613573.953	scanner	TR: 071/210
63627193615574.562	scanner	TR: 072/210
63627193617203.898	buttonbox	pressed: responseud
63627193617574.336	scanner	TR: 073/210
63627193619573.680	scanner	TR: 074/210
63627193620352.062	buttonbox	pressed: responseud
63627193621575.367	scanner	TR: 075/210
63627193622725.523	buttonbox	pressed: responseud
63627193623574.227	scanner	TR: 076/210
63627193624128.281	buttonbox	pressed: responseud
63627193624742.547	experiment	fixations correct: 4/4 (100%)
63627193625575.328	scanner	TR: 077/210
63627193626524.336	buttonbox	pressed: responselrud
63627193627575.664	scanner	TR: 078/210
63627193627729.352	experiment	feedback (y, 4/6)
63627193629575.062	scanner	TR: 079/210
63627193630271.578	info	autosave (9318ms)
63627193639593.977	scanner	TR: 084/210
63627193639597.562	experiment	block 7 start
63627193641575.500	scanner	TR: 085/210
63627193643575.672	scanner	TR: 086/210
63627193645574.367	scanner	TR: 087/210
63627193646278.836	buttonbox	pressed: responseud
63627193647575.422	scanner	TR: 088/210
63627193648868.711	buttonbox	pressed: responseud
63627193649575.289	scanner	TR: 089/210
63627193651573.422	scanner	TR: 090/210
63627193651632.211	buttonbox	pressed: responseud
63627193651969.953	experiment	fixations correct: 3/3 (100%)
63627193653574.273	scanner	TR: 091/210
63627193654737.062	buttonbox	pressed: responselrud
63627193655575.516	scanner	TR: 092/210
63627193655718.977	experiment	feedback (y, 5/7)
63627193656488.969	info	autosave (1857ms)
63627193658350.180	scanner	TR: 093/210
63627193659576.867	scanner	TR: 094/210
63627193661573.805	scanner	TR: 095/210
63627193663574.188	scanner	TR: 096/210
63627193663577.031	experiment	block 8 start
63627193665573.625	scanner	TR: 097/210
63627193667574.203	scanner	TR: 098/210
63627193669573.805	scanner	TR: 099/210
63627193670258.766	buttonbox	pressed: responseud
63627193671574.688	scanner	TR: 100/210
63627193672743.188	buttonbox	pressed: responseud
63627193673574.773	scanner	TR: 101/210
63627193675573.461	scanner	TR: 102/210
63627193675614.438	buttonbox	pressed: responseud
63627193676221.625	experiment	fixations correct: 3/3 (100%)
63627193677574.984	scanner	TR: 103/210
63627193678875.859	buttonbox	pressed: responselrud
63627193679574.438	scanner	TR: 104/210
63627193679727.484	experiment	feedback (y, 6/8)
63627193681576.156	scanner	TR: 105/210
63627193682301.828	info	autosave (2475ms)
63627193684779.711	scanner	TR: 106/210
63627193685574.664	scanner	TR: 107/210
63627193687573.961	scanner	TR: 108/210
63627193689573.844	scanner	TR: 109/210
63627193689580.148	experiment	block 9 start
63627193691576.609	scanner	TR: 110/210
63627193693575.953	scanner	TR: 111/210
63627193695573.875	scanner	TR: 112/210
63627193695628.242	buttonbox	pressed: responseud
63627193697375.961	buttonbox	pressed: responseud
63627193697574.914	scanner	TR: 113/210
63627193699573.852	scanner	TR: 114/210
63627193699673.695	buttonbox	pressed: responseud
63627193701573.281	scanner	TR: 115/210
63627193701703.766	buttonbox	pressed: responseud
63627193702416.391	experiment	fixations correct: 4/4 (100%)
63627193703574.961	scanner	TR: 116/210
63627193704707.000	buttonbox	pressed: responselrud
63627193705575.086	scanner	TR: 117/210
63627193705720.781	experiment	feedback (y, 7/9)
63627193707574.031	scanner	TR: 118/210
63627193708269.852	info	autosave (3199ms)
63627193711473.414	scanner	TR: 119/210
63627193713134.852	scanner	TR: 120/210
63627193713573.320	scanner	TR: 121/210
63627193715573.609	scanner	TR: 122/210
63627193715576.008	experiment	block 10 start
63627193717573.750	scanner	TR: 123/210
63627193719574.336	scanner	TR: 124/210
63627193721575.625	scanner	TR: 125/210
63627193722289.859	buttonbox	pressed: responseud
63627193723573.789	scanner	TR: 126/210
63627193724075.523	buttonbox	pressed: responseud
63627193725573.672	scanner	TR: 127/210
63627193726532.578	buttonbox	pressed: responseud
63627193727141.156	experiment	fixations correct: 2/3 (67%)
63627193727574.797	scanner	TR: 128/210
63627193729573.977	scanner	TR: 129/210
63627193730637.672	buttonbox	pressed: responselrud
63627193731574.414	scanner	TR: 130/210
63627193731726.859	experiment	feedback (y, 8/10)
63627193733575.734	scanner	TR: 131/210
63627193734330.680	info	autosave (1260ms)
63627193735594.891	scanner	TR: 132/210
63627193737573.656	scanner	TR: 133/210
63627193739574.859	scanner	TR: 134/210
63627193741575.156	scanner	TR: 135/210
63627193741577.961	experiment	block 11 start
63627193743575.672	scanner	TR: 136/210
63627193745574.172	scanner	TR: 137/210
63627193747573.781	scanner	TR: 138/210
63627193748815.695	buttonbox	pressed: responseud
63627193749573.719	scanner	TR: 139/210
63627193750429.797	buttonbox	pressed: responseud
63627193751573.750	scanner	TR: 140/210
63627193752723.109	buttonbox	pressed: responseud
63627193753573.445	scanner	TR: 141/210
63627193754182.484	buttonbox	pressed: responseud
63627193754885.359	experiment	fixations correct: 4/4 (100%)
63627193755575.555	scanner	TR: 142/210
63627193757017.188	buttonbox	pressed: responselrud
63627193757574.773	scanner	TR: 143/210
63627193757720.117	experiment	feedback (y, 9/11)
63627193759573.555	scanner	TR: 144/210
63627193760320.680	info	autosave (496ms)
63627193761574.523	scanner	TR: 145/210
63627193763574.945	scanner	TR: 146/210
63627193765573.914	scanner	TR: 147/210
63627193767576.008	scanner	TR: 148/210
63627193767578.969	experiment	block 12 start
63627193769574.375	scanner	TR: 149/210
63627193771574.180	scanner	TR: 150/210
63627193773573.312	scanner	TR: 151/210
63627193774387.820	buttonbox	pressed: responseud
63627193775575.742	scanner	TR: 152/210
63627193775674.000	buttonbox	pressed: responseud
63627193777099.453	buttonbox	pressed: responseud
63627193777574.992	scanner	TR: 153/210
63627193779247.906	buttonbox	pressed: responseud
63627193779574.039	scanner	TR: 154/210
63627193780863.609	buttonbox	pressed: responseud
63627193781497.414	experiment	fixations correct: 5/5 (100%)
63627193781573.906	scanner	TR: 155/210
63627193782872.336	buttonbox	pressed: responselrud
63627193783574.180	scanner	TR: 156/210
63627193783713.680	experiment	feedback (y, 10/12)
63627193785575.852	scanner	TR: 157/210
63627193786311.750	info	autosave (7564ms)
63627193793880.359	scanner	TR: 161/210
63627193793885.031	experiment	block 13 start
63627193795573.383	scanner	TR: 162/210
63627193797573.602	scanner	TR: 163/210
63627193799572.977	scanner	TR: 164/210
63627193800252.250	buttonbox	pressed: responseud
63627193801573.789	scanner	TR: 165/210
63627193803151.477	buttonbox	pressed: responseud
63627193803573.023	scanner	TR: 166/210
63627193805572.992	scanner	TR: 167/210
63627193806103.625	buttonbox	pressed: responseud
63627193806850.859	experiment	fixations correct: 3/3 (100%)
63627193807573.312	scanner	TR: 168/210
63627193808992.281	buttonbox	pressed: responselrud
63627193809573.305	scanner	TR: 169/210
63627193809726.109	experiment	feedback (y, 11/13)
63627193811574.000	scanner	TR: 170/210
63627193812322.828	info	autosave (1907ms)
63627193814234.211	scanner	TR: 171/210
63627193815573.117	scanner	TR: 172/210
63627193817572.805	scanner	TR: 173/210
63627193819574.547	scanner	TR: 174/210
63627193819577.422	experiment	block 14 start
63627193821574.281	scanner	TR: 175/210
63627193823574.352	scanner	TR: 176/210
63627193825572.766	scanner	TR: 177/210
63627193826828.719	buttonbox	pressed: responseud
63627193827574.430	scanner	TR: 178/210
63627193829079.883	buttonbox	pressed: responseud
63627193829572.750	scanner	TR: 179/210
63627193831572.391	scanner	TR: 180/210
63627193832050.195	buttonbox	pressed: responseud
63627193832799.750	experiment	fixations correct: 3/3 (100%)
63627193833573.086	scanner	TR: 181/210
63627193835185.438	buttonbox	pressed: responselrud
63627193835572.516	scanner	TR: 182/210
63627193835714.016	experiment	feedback (n, 11/14)
63627193837573.156	scanner	TR: 183/210
63627193838261.625	info	autosave (683ms)
63627193839572.625	scanner	TR: 184/210
63627193841574.766	scanner	TR: 185/210
63627193843574.961	scanner	TR: 186/210
63627193845572.938	scanner	TR: 187/210
63627193845579.305	experiment	block 15 start
63627193847572.633	scanner	TR: 188/210
63627193849574.984	scanner	TR: 189/210
63627193851573.273	scanner	TR: 190/210
63627193851665.406	buttonbox	pressed: responseud
63627193853573.086	scanner	TR: 191/210
63627193854606.398	buttonbox	pressed: responseud
63627193855572.789	scanner	TR: 192/210
63627193856285.461	buttonbox	pressed: responseud
63627193857574.164	scanner	TR: 193/210
63627193858235.266	buttonbox	pressed: responseud
63627193858960.125	experiment	fixations correct: 4/4 (100%)
