time	type	info
63627185553742.469	log	started
63627185553911.695	serial	opened (/dev/ttyS0)
63627185554852.875	buttonbox	F9: blue/up/lleft
63627185554856.773	buttonbox	F10: yellow/left/rleft
63627185554859.633	buttonbox	F11: green/right/lright
63627185554861.500	buttonbox	F12: red/down/rright
63627185557213.898	window	opened main
63627185558144.016	flip	show start
63627185558373.406	experiment	Set start level based on subject's saved ability
63627185559926.258	experiment	initialized experiment
63627185568274.000	info	autosave (492ms)
63627185578272.773	info	autosave (491ms)
63627185588272.289	info	autosave (473ms)
63627185598272.242	info	autosave (473ms)
63627185608271.750	info	autosave (473ms)
63627185618272.711	info	autosave (498ms)
63627185628271.734	info	autosave (474ms)
63627185638272.094	info	autosave (490ms)
63627185648272.594	info	autosave (491ms)
63627185658272.672	info	autosave (499ms)
63627185668272.547	info	autosave (499ms)
63627185678272.797	info	autosave (472ms)
63627185688272.305	info	autosave (482ms)
63627185698272.352	info	autosave (482ms)
63627185708272.031	info	autosave (473ms)
63627185718273.305	info	autosave (472ms)
63627185728272.273	info	autosave (498ms)
63627185738271.773	info	autosave (499ms)
63627185748272.398	info	autosave (498ms)
63627185758272.266	info	autosave (481ms)
63627185768272.719	info	autosave (489ms)
63627185778272.664	info	autosave (480ms)
63627185788271.977	info	autosave (472ms)
63627185798272.672	info	autosave (497ms)
63627185808271.773	info	autosave (473ms)
63627185818272.352	info	autosave (497ms)
63627185828272.836	info	autosave (480ms)
63627185838272.734	info	autosave (530ms)
63627185848271.844	info	autosave (507ms)
63627185858272.000	info	autosave (489ms)
63627185868271.812	info	autosave (480ms)
63627185878271.938	info	autosave (481ms)
63627185888271.703	info	autosave (480ms)
63627185898272.844	info	autosave (487ms)
63627185908272.305	info	autosave (563ms)
63627185918272.547	info	autosave (477ms)
63627185928272.086	info	autosave (487ms)
63627185938272.719	info	autosave (487ms)
63627185948272.570	info	autosave (487ms)
63627185958272.242	info	autosave (487ms)
63627185968272.430	info	autosave (468ms)
63627185978271.844	info	autosave (470ms)
63627185988272.648	info	autosave (478ms)
63627185998271.953	info	autosave (471ms)
63627186008272.086	info	autosave (486ms)
63627186018271.984	info	autosave (495ms)
63627186028272.594	info	autosave (494ms)
63627186038272.562	info	autosave (477ms)
63627186048271.797	info	autosave (587ms)
63627186058272.117	info	autosave (486ms)
63627186068272.180	info	autosave (478ms)
63627186078272.258	info	autosave (494ms)
63627186088272.531	info	autosave (484ms)
63627186098272.266	info	autosave (486ms)
63627186108272.164	info	autosave (477ms)
63627186118272.539	info	autosave (551ms)
63627186128272.258	info	autosave (485ms)
63627186138271.734	info	autosave (476ms)
63627186148271.727	info	autosave (502ms)
63627186158271.836	info	autosave (493ms)
63627186168271.742	info	autosave (485ms)
63627186178272.109	info	autosave (474ms)
63627186188272.398	info	autosave (468ms)
63627186198271.922	info	autosave (493ms)
63627186208270.664	info	autosave (486ms)
63627186218272.008	info	autosave (484ms)
63627186228272.641	info	autosave (474ms)
63627186238272.336	info	autosave (500ms)
63627186248271.680	info	autosave (492ms)
63627186258271.367	info	autosave (501ms)
63627186268272.438	info	autosave (499ms)
63627186278270.977	info	autosave (475ms)
63627186288271.117	info	autosave (484ms)
63627186298272.523	info	autosave (491ms)
63627186308271.750	info	autosave (484ms)
63627186318271.836	info	autosave (500ms)
63627186328272.086	info	autosave (474ms)
63627186338272.008	info	autosave (491ms)
63627186348272.547	info	autosave (514ms)
63627186358271.391	info	autosave (499ms)
63627186368272.484	info	autosave (474ms)
63627186378272.664	info	autosave (465ms)
63627186388271.844	info	autosave (492ms)
63627186398272.023	info	autosave (491ms)
63627186408272.422	info	autosave (482ms)
63627186418272.391	info	autosave (482ms)
63627186428272.445	info	autosave (482ms)
63627186438272.727	info	autosave (480ms)
63627186448272.766	info	autosave (507ms)
63627186452042.969	experiment	Starting run 1 of 12
63627186544519.008	scanner	TR: 001/210
63627186546444.859	info	autosave (493ms)
63627186546947.367	scanner	TR: 002/210
63627186548519.445	scanner	TR: 003/210
63627186550519.328	scanner	TR: 004/210
63627186552519.422	scanner	TR: 005/210
63627186552527.633	experiment	block 1 start
63627186554519.859	scanner	TR: 006/210
63627186556522.797	scanner	TR: 007/210
63627186558519.805	scanner	TR: 008/210
63627186559499.211	buttonbox	pressed: responseud
63627186560519.367	scanner	TR: 009/210
63627186562520.031	scanner	TR: 010/210
63627186562801.227	buttonbox	pressed: responseud
63627186563978.578	buttonbox	pressed: responseud
63627186564519.359	scanner	TR: 011/210
63627186564572.844	experiment	fixations correct: 3/3 (100%)
63627186566519.898	scanner	TR: 012/210
63627186567515.469	buttonbox	pressed: responselrud
63627186568520.719	scanner	TR: 013/210
63627186569062.812	experiment	feedback (n, 0/1)
63627186570520.625	scanner	TR: 014/210
63627186571298.266	info	autosave (487ms)
63627186572519.727	scanner	TR: 015/210
63627186574522.188	scanner	TR: 016/210
63627186576520.398	scanner	TR: 017/210
63627186578519.547	scanner	TR: 018/210
63627186578527.430	experiment	block 2 start
63627186580520.977	scanner	TR: 019/210
63627186582521.609	scanner	TR: 020/210
63627186584518.875	scanner	TR: 021/210
63627186584903.625	buttonbox	pressed: responseud
63627186586313.539	buttonbox	pressed: responseud
63627186586519.289	scanner	TR: 022/210
63627186588521.906	scanner	TR: 023/210
63627186588755.586	buttonbox	pressed: responseud
63627186590522.508	scanner	TR: 024/210
63627186591027.531	buttonbox	pressed: responseud
63627186591716.109	experiment	fixations correct: 4/4 (100%)
63627186592519.086	scanner	TR: 025/210
63627186593592.469	buttonbox	pressed: responselrud
63627186594519.305	scanner	TR: 026/210
63627186594700.266	experiment	feedback (y, 1/2)
63627186596520.703	scanner	TR: 027/210
