time	type	info
63625413816552.492	log	started
63625413816732.922	serial	opened (/dev/ttyS0)
63625413817693.711	buttonbox	F9: blue/up/lleft
63625413817697.023	buttonbox	F10: yellow/left/rleft
63625413817699.461	buttonbox	F11: green/right/lright
63625413817701.289	buttonbox	F12: red/down/rright
63625413820410.547	window	opened main
63625413821339.852	flip	show start
63625413821564.336	experiment	Set start level based on subject's saved ability
63625413823145.961	experiment	initialized experiment
63625413831477.031	info	autosave (485ms)
63625413841475.180	info	autosave (493ms)
63625413851475.148	info	autosave (484ms)
63625413861475.086	info	autosave (498ms)
63625413871475.281	info	autosave (491ms)
63625413881475.469	info	autosave (507ms)
63625413891475.648	info	autosave (508ms)
63625413901475.156	info	autosave (508ms)
63625413911475.156	info	autosave (507ms)
63625413921475.016	info	autosave (516ms)
63625413931474.617	info	autosave (500ms)
63625413941475.250	info	autosave (491ms)
63625413951475.664	info	autosave (491ms)
63625413961475.469	info	autosave (498ms)
63625413971474.898	info	autosave (499ms)
63625413981474.781	info	autosave (507ms)
63625413991475.703	info	autosave (506ms)
63625414001475.086	info	autosave (523ms)
63625414011475.781	info	autosave (506ms)
63625414021474.945	info	autosave (506ms)
63625414031475.617	info	autosave (514ms)
63625414041475.648	info	autosave (514ms)
63625414051475.070	info	autosave (498ms)
63625414061475.680	info	autosave (505ms)
63625414071475.539	info	autosave (496ms)
63625414081475.000	info	autosave (497ms)
63625414091475.023	info	autosave (522ms)
63625414101475.531	info	autosave (522ms)
63625414111475.188	info	autosave (513ms)
63625414121475.203	info	autosave (530ms)
63625414131475.516	info	autosave (513ms)
63625414141475.477	info	autosave (513ms)
63625414151474.859	info	autosave (488ms)
63625414161474.836	info	autosave (504ms)
63625414171475.305	info	autosave (496ms)
63625414181475.531	info	autosave (512ms)
63625414191475.547	info	autosave (512ms)
63625414201475.469	info	autosave (520ms)
63625414211475.312	info	autosave (503ms)
63625414221475.727	info	autosave (528ms)
63625414231475.211	info	autosave (520ms)
63625414241475.664	info	autosave (511ms)
63625414251475.461	info	autosave (511ms)
63625414261475.320	info	autosave (494ms)
63625414271474.922	info	autosave (494ms)
63625414281475.508	info	autosave (519ms)
63625414291474.148	info	autosave (511ms)
63625414301474.914	info	autosave (519ms)
63625414311475.719	info	autosave (501ms)
63625414321475.203	info	autosave (527ms)
63625414331475.094	info	autosave (518ms)
63625414341474.922	info	autosave (517ms)
63625414351474.898	info	autosave (526ms)
63625414361474.164	info	autosave (526ms)
63625414371475.539	info	autosave (498ms)
63625414381475.477	info	autosave (491ms)
63625414391475.734	info	autosave (499ms)
63625414401474.688	info	autosave (518ms)
63625414411475.156	info	autosave (516ms)
63625414421475.102	info	autosave (517ms)
63625414431475.875	info	autosave (515ms)
63625414441474.930	info	autosave (525ms)
63625414451475.445	info	autosave (508ms)
63625414456545.852	experiment	Starting run 1 of 12
63625414519129.578	scanner	TR: 001/210
63625414520998.680	info	autosave (512ms)
63625414521521.023	scanner	TR: 002/210
63625414523131.703	scanner	TR: 003/210
63625414525131.828	scanner	TR: 004/210
63625414527129.906	scanner	TR: 005/210
63625414527142.797	experiment	block 1 start
63625414529133.109	scanner	TR: 006/210
63625414531129.484	scanner	TR: 007/210
63625414533130.789	scanner	TR: 008/210
63625414533231.539	buttonbox	pressed: responseud
63625414534664.609	buttonbox	pressed: responseud
63625414535130.562	scanner	TR: 009/210
63625414536412.398	buttonbox	pressed: responseud
63625414537131.109	scanner	TR: 010/210
